,objectId,geoPosition,countryCode,postalCode,placeName,adminName1,adminCode1,adminName2,adminCode2,adminName3,adminCode3,accuracy,createdAt,updatedAt
867,868,"{'__type': 'GeoPoint', 'latitude': 34.6778, 'longitude': 72.2219}",PK,19240,Barikot,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
868,869,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Odi Gram,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
869,870,"{'__type': 'GeoPoint', 'latitude': 34.8741, 'longitude': 72.5631}",PK,19201,Chakisar,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
870,871,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Tindodog,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
871,872,"{'__type': 'GeoPoint', 'latitude': 34.6686, 'longitude': 72.4208}",PK,19241,Kota,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
872,873,"{'__type': 'GeoPoint', 'latitude': 34.7056, 'longitude': 72.2308}",PK,19241,Parrai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
873,874,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Tariq Abad,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
874,875,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19211,Qamber,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
875,876,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19250,Zara Khela,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
876,877,"{'__type': 'GeoPoint', 'latitude': 34.674, 'longitude': 72.4826}",PK,19241,Aboha,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
877,878,"{'__type': 'GeoPoint', 'latitude': 34.2167, 'longitude': 73.6}",PK,19251,Garhi,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
878,879,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19230,Ghalegi,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
879,880,"{'__type': 'GeoPoint', 'latitude': 34.6069, 'longitude': 73.0083}",PK,19241,Guratai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.545Z,2020-02-21T22:46:15.545Z
880,881,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19281,Dokada,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
881,882,"{'__type': 'GeoPoint', 'latitude': 34.5158, 'longitude': 72.3614}",PK,19270,Torwarsak,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
882,883,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19280,Pir Baba,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
883,884,"{'__type': 'GeoPoint', 'latitude': 34.38, 'longitude': 72.6817}",PK,19291,Nagrai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
884,885,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19281,Bam Pokha,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
885,886,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19281,Ghazi Khani,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
886,887,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19281,Kinger Gali,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
887,888,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Shall Band,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
888,889,"{'__type': 'GeoPoint', 'latitude': 34.5114, 'longitude': 72.4839}",PK,19290,Daggar,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
889,890,"{'__type': 'GeoPoint', 'latitude': 34.6543, 'longitude': 72.4591}",PK,19281,Sultan Was,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
890,891,"{'__type': 'GeoPoint', 'latitude': 34.0689, 'longitude': 72.6244}",PK,19291,Topi,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
891,892,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Sawaraj,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
892,893,"{'__type': 'GeoPoint', 'latitude': 34.5417, 'longitude': 72.6372}",PK,19291,Battara,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
893,894,"{'__type': 'GeoPoint', 'latitude': 34.4939, 'longitude': 72.6511}",PK,19291,Budal,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
894,895,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Ellai,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
895,896,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Baj Kata,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
896,897,"{'__type': 'GeoPoint', 'latitude': 34.8675, 'longitude': 71.3975}",PK,19291,Kalpani,NWFP Peshawar,,,,,,4,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
897,898,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Dewana Baba,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
898,899,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Bagra,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
899,900,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Angha Pur,NWFP Peshawar,,,,,,,2020-02-21T22:46:15.855Z,2020-02-21T22:46:15.855Z
900,901,"{'__type': 'GeoPoint', 'latitude': 34.4704, 'longitude': 72.3984}",PK,19291,Kurgokand,NWFP Peshawar,,,,,,,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
901,902,"{'__type': 'GeoPoint', 'latitude': 34.3883, 'longitude': 72.5492}",PK,19301,Sura,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
902,903,"{'__type': 'GeoPoint', 'latitude': 34.3103, 'longitude': 72.9069}",PK,19301,Tarinon,NWFP Peshawar,,,,,,,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
903,904,"{'__type': 'GeoPoint', 'latitude': 34.1528, 'longitude': 73.6639}",PK,19301,Nagri,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
904,905,"{'__type': 'GeoPoint', 'latitude': 34.7058, 'longitude': 72.8475}",PK,19300,Nawagai,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
905,906,"{'__type': 'GeoPoint', 'latitude': 34.3103, 'longitude': 72.9069}",PK,19301,Kanrohi,NWFP Peshawar,,,,,,,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
906,907,"{'__type': 'GeoPoint', 'latitude': 34.7637, 'longitude': 73.3287}",PK,20000,Sazine,NWFP Peshawar,,,,,,,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
907,908,"{'__type': 'GeoPoint', 'latitude': 34.3897, 'longitude': 72.5075}",PK,19301,Koga,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
908,909,"{'__type': 'GeoPoint', 'latitude': 34.6472, 'longitude': 73.3583}",PK,20210,Dullan Wala,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
909,910,"{'__type': 'GeoPoint', 'latitude': 34.8772, 'longitude': 72.8861}",PK,20501,Shang,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
910,911,"{'__type': 'GeoPoint', 'latitude': 35.0489, 'longitude': 72.8864}",PK,20300,Ranolia,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
911,912,"{'__type': 'GeoPoint', 'latitude': 35.7167, 'longitude': 75.5167}",PK,20100,Dassu,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.122Z,2020-02-21T22:46:16.122Z
912,913,"{'__type': 'GeoPoint', 'latitude': 35.3167, 'longitude': 73.25}",PK,20101,Seo,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
913,914,"{'__type': 'GeoPoint', 'latitude': 34.9319, 'longitude': 72.8778}",PK,20500,Besham,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
914,915,"{'__type': 'GeoPoint', 'latitude': 34.6472, 'longitude': 73.3583}",PK,20201,Shakan Abad,NWFP Peshawar,,,,,,,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
915,916,"{'__type': 'GeoPoint', 'latitude': 35.25, 'longitude': 73.2833}",PK,20101,Jalkot,NWFP Peshawar,,,,,,4,2020-02-21T22:46:16.123Z,2020-02-21T22:46:16.123Z
